Date,PCR count
2021-02-16,13585
2021-02-15,11895
2021-02-14,15430
2021-02-13,16866
2021-02-12,16387
2021-02-11,15543
2021-02-10,19687
2021-02-09,16493
2021-02-08,14402
2021-02-07,12145
2021-02-06,15746
2021-02-05,14749
2021-02-04,12024
2021-02-03,14860
2021-02-02,13218
2021-02-01,12340
2021-01-31,13537
2021-01-30,14316
2021-01-29,16226
2021-01-28,18132
2021-01-27,19420
2021-01-26,15259
2021-01-25,16431
2021-01-24,14947
2021-01-23,17523
2021-01-22,18515
2021-01-21,19285
2021-01-20,16108
2021-01-19,18050
2021-01-18,14294
2021-01-17,14984
2021-01-16,15218
2021-01-15,13681
2021-01-14,15146
2021-01-13,14565
2021-01-12,14329
2021-01-11,12139
2021-01-10,13224
2021-01-09,16206
2021-01-08,17217
2021-01-07,16351
2021-01-06,15041
2021-01-05,12456
2021-01-04,10774
2021-01-03,12826
2021-01-02,10719
2021-01-01,14600
2020-12-31,14243
2020-12-30,12592
2020-12-29,10564
2020-12-28,8668
2020-12-27,12222
2020-12-26,11060
2020-12-25,13516
2020-12-24,14933
2020-12-23,13853
2020-12-22,13895
2020-12-21,11672
2020-12-20,10534
2020-12-19,16603
2020-12-18,16542
2020-12-17,14024
2020-12-16,13178
2020-12-15,15273
2020-12-14,9363
2020-12-13,13479
2020-12-12,15239
2020-12-11,17425
2020-12-10,13864
2020-12-09,14416
2020-12-08,14336
2020-12-07,11182
2020-12-06,13831
2020-12-05,14125
2020-12-04,13741
2020-12-03,13598
2020-12-02,13632
2020-12-01,13423
2020-11-30,7463
2020-11-29,12031
2020-11-28,13065
2020-11-27,11936
2020-11-26,13286
2020-11-25,12105
2020-11-24,10400
2020-11-23,7467
2020-11-22,10679
2020-11-21,12095
2020-11-20,11212
2020-11-19,11398
2020-11-18,10306
2020-11-17,11105
2020-11-16,8743
2020-11-15,10713
2020-11-14,11130
2020-11-13,13671
2020-11-12,9575
2020-11-11,10111
2020-11-10,10207
2020-11-09,8272
2020-11-08,7986
2020-11-07,10632
2020-11-06,11620
2020-11-05,11824
2020-11-04,11316
2020-11-03,10655
2020-11-02,9940
2020-11-01,11713
2020-10-31,11999
2020-10-30,10173
2020-10-29,9725
2020-10-28,11552
2020-10-27,8831
2020-10-26,9619
2020-10-25,8846
2020-10-24,9189
2020-10-23,9469
2020-10-22,8089
2020-10-21,8777
2020-10-20,8270
2020-10-19,7136
2020-10-18,7099
2020-10-17,9513
2020-10-16,8589
2020-10-15,8161
2020-10-14,8789
2020-10-13,6566
2020-10-12,6591
2020-10-11,7248
2020-10-10,7495
2020-10-09,7196
2020-10-08,4824
2020-10-07,5608
2020-10-06,4880
2020-10-05,1890
2020-10-04,1148
2020-10-03,2244
2020-10-02,2114
2020-10-01,1517
2020-09-30,1724
2020-09-29,2407
2020-09-28,1398
2020-09-27,1862
2020-09-26,2457
2020-09-25,1595
2020-09-24,2555
2020-09-23,1882
2020-09-22,2827
2020-09-21,1398
2020-09-20,1112
2020-09-19,2314
2020-09-18,1714
2020-09-17,1965
2020-09-16,2600
2020-09-15,2301
2020-09-14,1434
2020-09-13,2201
2020-09-12,2050
2020-09-11,2464
2020-09-10,2440
2020-09-09,1776
2020-09-08,2128
2020-09-07,1353
2020-09-06,1724
2020-09-05,2297
2020-09-04,2389
2020-09-03,2511
2020-09-02,2163
2020-09-01,2495
2020-08-31,1941
2020-08-30,2129
2020-08-29,2072
2020-08-28,2748
2020-08-27,2853
2020-08-26,2847
2020-08-25,2372
2020-08-24,2693
2020-08-23,2690
2020-08-22,2800
2020-08-21,2759
2020-08-20,2876
2020-08-19,2247
2020-08-18,3518
2020-08-17,1989
2020-08-16,1561
2020-08-15,2839
2020-08-14,2437
2020-08-13,2732
2020-08-12,2549
2020-08-11,2909
2020-08-10,1519
2020-08-09,1803
2020-08-08,1343
2020-08-07,1069
2020-08-06,1085
2020-08-05,935
2020-08-04,1395
2020-08-03,1712
2020-08-02,1540
2020-08-01,1864
2020-07-31,1600
2020-07-30,1683
2020-07-29,1403
2020-07-28,1349
2020-07-27,1126
2020-07-26,1851
2020-07-25,2018
2020-07-24,1811
2020-07-23,2012
2020-07-22,1700
2020-07-21,2158
2020-07-20,1924
2020-07-19,2184
2020-07-18,1888
2020-07-17,2723
2020-07-16,2406
2020-07-15,2470
2020-07-14,2288
2020-07-13,1310
2020-07-12,2251
2020-07-11,1341
2020-07-10,1749
2020-07-09,1424
2020-07-08,1182
2020-07-07,1610
2020-07-06,1290
2020-07-05,599
2020-07-04,852
2020-07-03,1519
2020-07-02,1399
2020-07-01,1296
2020-06-30,1365
2020-06-29,1340
2020-06-28,833
2020-06-27,1607
2020-06-26,1439
2020-06-25,1243
2020-06-24,1349
2020-06-23,1232
2020-06-22,1134
2020-06-21,1181
2020-06-20,827
2020-06-19,1495
2020-06-18,1374
2020-06-17,1381
2020-06-16,1276
2020-06-15,1651
2020-06-14,1116
2020-06-13,1165
2020-06-12,1390
2020-06-11,1677
2020-06-10,1433
2020-06-09,1579
2020-06-08,1766
2020-06-07,1718
2020-06-06,1243
2020-06-05,1816
2020-06-04,1890
2020-06-03,2086
2020-06-02,1783
2020-06-01,1066
2020-05-31,1420
2020-05-30,1727
2020-05-29,1330
2020-05-28,1713
2020-05-27,1838
2020-05-26,1146
2020-05-25,1347
2020-05-24,1742
2020-05-23,1998
2020-05-22,1970
2020-05-21,1603
2020-05-20,1108
2020-05-19,1062
2020-05-18,960
2020-05-17,1254
2020-05-16,1081
2020-05-15,938
2020-05-14,1489
2020-05-13,889
2020-05-12,1078
2020-05-11,1057
2020-05-10,1282
2020-05-09,1424
2020-05-08,1821
2020-05-07,1553
2020-05-06,1147
2020-05-05,1491
2020-05-04,1045
2020-05-03,1636
2020-05-02,1681
2020-05-01,1107
2020-04-30,1397
2020-04-29,1545
2020-04-28,1139
2020-04-27,1869
2020-04-26,1075
2020-04-25,816
2020-04-24,876
2020-04-23,1141
2020-04-22,774
2020-04-21,650
2020-04-20,642
2020-04-19,702
2020-04-18,522
2020-04-17,710
2020-04-16,548
2020-04-15,465
2020-04-14,342
2020-04-13,431
2020-04-12,609
2020-04-11,393
2020-04-10,397
2020-04-09,287
2020-04-08,376
2020-04-07,353
2020-04-06,394
2020-04-05,324
2020-04-04,295
2020-04-03,311
2020-04-02,250
2020-04-01,219
2020-03-31,224
2020-03-30,155
2020-03-29,136
2020-03-28,108
2020-03-27,152
2020-03-26,131
2020-03-25,128
2020-03-24,164
2020-03-23,143
2020-03-22,174
2020-03-21,149
2020-03-20,119
2020-03-19,162
2020-03-18,108
2020-03-17,151
2020-03-16,89
2020-03-15,65
2020-03-14,88
2020-03-13,25
2020-03-12,17
2020-03-11,10
2020-03-10,12
2020-03-09,1
2020-03-08,3
2020-03-07,7
2020-03-06,4
2020-03-05,1
2020-03-04,9
2020-03-03,6
2020-03-02,10
2020-03-01,1
2020-02-29,3
2020-02-28,5
2020-02-27,2
2020-02-26,2
2020-02-25,0
2020-02-24,0
2020-02-23,0
2020-02-22,0
2020-02-21,0
2020-02-20,1
2020-02-19,0
2020-02-18,1
